Bottleneck, Draws, Cycles, Error cycles, % error cycles, Rel error %, +ve error rate%, +ve cycles, +ve draws, -ve error rate%, -ve cycles, -ve draws, % of total error
Vertex,507038,4.042297E+09,2.485563E+09,61.49,-61.49,0,0,0,-61.49,4.042297E+09,507038,1.02,
SPI,5041,2.476022E+08,6.307053E+07,25.47,-25.47,0,0,0,-25.47,2.476022E+08,5041,0.03,
Primitive,3276306,4.263998E+10,2.340718E+10,54.89,-54.89,92.09,334570,23,-54.89,4.263965E+10,3276283,9.65,
Tile,32003,1.154889E+08,8.609732E+07,74.55,-74.55,0,0,0,-74.55,1.154889E+08,32003,0.04,
CB,320470,2.129999E+10,5.837036E+09,27.4,-18.72,27.26,3.391641E+09,7287,-27.43,1.790835E+10,313183,2.41,
DB,876981,1.518246E+10,6.18963E+09,40.77,-40.49,8.8,2.416022E+08,1355,-41.29,1.494086E+10,875626,2.55,
TA,2299,1.847228E+09,4.815271E+07,2.61,-2.61,0,0,0,-2.61,1.847228E+09,2299,0.02,
TCP,940507,1.574651E+11,2.200379E+10,13.97,-13.97,0,0,0,-13.97,1.574651E+11,940507,9.07,
TCC-TCP BW,209966,4.038258E+09,2.177567E+09,53.92,-53.92,5.43,2013715,157,-53.95,4.036244E+09,209809,0.9,
TCC,10796,1.309751E+09,2.661151E+08,20.32,-20.32,0,0,0,-20.32,1.309751E+09,10796,0.11,
MCS,6639306,1.815728E+11,5.841752E+10,32.17,-32.17,0,1.45435E+10,2733,-34.97,1.670294E+11,6636573,24.09,
GS Wave,1074,8228439,6842654,83.16,-83.16,0,0,0,-83.16,8228439,1074,0,
LS Wave,326408,3.423775E+09,2.935467E+09,85.74,-85.74,0,0,0,-85.74,3.423775E+09,326408,1.21,
HS Wave,35706,3.863206E+08,3.264763E+08,84.51,-84.51,0,0,0,-84.51,3.863206E+08,35706,0.13,
VS Wave,10712125,8.399408E+10,7.172463E+10,85.39,-85.39,29.6,2604928,131,-85.39,8.399146E+10,10711994,29.58,
PosBuf,163709,5.057991E+09,2.801655E+09,55.39,-55.26,31.6,1.02397E+07,347,-55.44,5.047751E+09,163362,1.16,
ParamCache,56226,2.419791E+09,1.20099E+09,49.63,-49.63,40.73,163861,5,-49.63,2.419627E+09,56221,0.5,
PS GPR,87384,3.013519E+10,3.733242E+09,12.39,-12.23,29.6,8.214689E+07,26,-12.34,3.005304E+10,87358,1.54,
PS Wave,924535,2.476687E+10,2.083894E+10,84.14,-84.14,65.57,823519,23,-84.14,2.476605E+10,924512,8.59,
DBLQuadFifo,35283,2.872123E+09,1.339011E+09,46.62,-46.62,0,0,0,-46.62,2.872123E+09,35283,0.55,
LDS,163839,2.781166E+09,1.414441E+09,50.86,-50.86,0,0,0,-50.86,2.781166E+09,163839,0.58,
PS DBTileFIFO,6063,4.389485E+08,2.166376E+08,49.35,-49.35,0,0,0,-49.35,4.389485E+08,6063,0.09,
PS DBMRTTileFIFO,28238,9.948479E+08,6.356697E+08,63.9,-63.9,0,0,0,-63.9,9.948479E+08,28238,0.26,
CS GPR,3959,5.831345E+08,1.814831E+08,31.12,-31.12,0,0,0,-31.12,5.831345E+08,3959,0.07,
CS Wave,27162,4.897161E+08,5.906289E+07,12.06,-11.88,6.72,6564672,319,-12.13,4.831514E+08,26843,0.02,
ALU,292175,4.285075E+10,8.574424E+09,20.01,-20.01,0,0,0,-20.01,4.285075E+10,292175,3.54,
SHExport,386,5868444,4685845,79.85,-79.85,0,0,0,-79.85,5868444,386,0,
SX-DB,110983,7.818443E+09,1.725804E+09,22.07,-22.07,0,0,0,-22.07,7.818443E+09,110983,0.71,
Baryc,242878,1.017012E+10,3.750778E+09,36.88,-36.88,0,0,0,-36.88,1.017012E+10,242878,1.55,
Interp,1733,2.569081E+08,4.930779E+07,19.19,-19.19,0,0,0,-19.19,2.569081E+08,1733,0.02,
SUM =,26040579,6.492152E+11,2.425013E+11,37.35,-37.05,5.34,1.828163E+10,12406,-38.28,6.309337E+11,26028173,100,
